x, y
0.001261, 0.313767
0.826268, 0.001218
0.713756, 0.001202
0.001297, 0.791262
0.496304, 0.998759
0.496304, 0.998759
0.278807, 0.998713
0.338814, 0.001285
0.153728, 0.001334
0.626191, 0.001318
0.953761, 0.001156
0.001304, 0.793672
0.481303, 0.001337
0.001349, 0.776282
0.001171, 0.486318
0.293813, 0.998840
0.001303, 0.911147
0.001205, 0.333862
0.001205, 0.333862
0.998646, 0.738677
0.776200, 0.998628
0.133641, 0.001335
0.713889, 0.001253
0.016254, 0.001394
0.001245, 0.778603
0.851104, 0.998736
0.851104, 0.998736
0.851104, 0.998736
0.998681, 0.246381
0.001227, 0.586396
0.193609, 0.001190
0.001392, 0.788693
0.408884, 0.001172
0.913638, 0.001359
0.198879, 0.001163
0.213692, 0.998897
0.286198, 0.998598
0.301078, 0.998741
0.301078, 0.998741
0.001184, 0.628591
0.001323, 0.661409
0.001353, 0.676392
0.248870, 0.998616
0.613608, 0.001130
0.601113, 0.998879
0.321062, 0.001270
0.681430, 0.001314
0.681430, 0.001314
0.001389, 0.801115
0.561059, 0.001216
0.518588, 0.998641
0.518588, 0.998641
0.188809, 0.998564
0.146196, 0.998940
0.241306, 0.998944
0.171451, 0.998767
0.446422, 0.998637
0.421048, 0.001195
0.421048, 0.001195
0.998611, 0.766082
0.001035, 0.933809
0.998741, 0.561026
0.998918, 0.876099
0.868644, 0.001452
0.823943, 0.001124
0.171442, 0.001382
0.998600, 0.271431
0.001283, 0.088514
0.001011, 0.213734
0.118824, 0.998515
0.001369, 0.106034
0.481270, 0.998501
0.018520, 0.001353
0.998963, 0.173613
0.999008, 0.406256
0.406122, 0.998526
0.406122, 0.998526
0.998860, 0.848987
0.998997, 0.188838
0.001508, 0.403679
0.001508, 0.403679
0.001441, 0.391447
0.999006, 0.656145
0.998807, 0.701526
0.000966, 0.433723
0.001009, 0.196407
0.298818, 0.998469
0.636330, 0.001529
0.393695, 0.001536
0.001356, 0.480979
0.998584, 0.381490
0.999042, 0.748764
0.001022, 0.413566
0.001193, 0.679039
0.001193, 0.679039
0.993963, 0.998546
0.013454, 0.001217
0.001497, 0.546081
0.001497, 0.546081
0.001487, 0.568934
0.001548, 0.543718
0.841240, 0.999051
0.998487, 0.006103
0.998821, 0.053455
0.001290, 0.129052
0.001422, 0.238497
0.418755, 0.999057
0.406156, 0.001544
0.401432, 0.001000
0.743701, 0.001558
0.743701, 0.001558
0.000938, 0.323789
0.209065, 0.998788
0.001522, 0.391415
0.441457, 0.001496
0.763633, 0.998443
0.998586, 0.061535
0.001045, 0.579009
0.198680, 0.998424
0.523719, 0.000916
0.996248, 0.998414
0.470968, 0.001066
0.999065, 0.233870
0.441028, 0.998493
0.001543, 0.366075
0.001543, 0.366075
0.000980, 0.923533
0.000980, 0.923533
0.740909, 0.001316
0.723515, 0.999006
0.276537, 0.001053
0.999066, 0.318898
0.768637, 0.001581
0.221544, 0.998558
0.000972, 0.356032
0.001298, 0.130898
0.001548, 0.941449
0.118535, 0.001537
0.001030, 0.533465
0.598684, 0.001604
0.001482, 0.173473
0.998388, 0.556295
0.001602, 0.791155
0.933999, 0.999017
0.793384, 0.998799
0.201465, 0.001553
0.058838, 0.000889
0.001620, 0.443818
0.613957, 0.000936
0.685972, 0.999003
0.176451, 0.998430
0.998514, 0.089048
0.001213, 0.684133
0.113744, 0.999134
0.001518, 0.933471
0.579130, 0.998663
0.851620, 0.001107
0.999147, 0.523706
0.999147, 0.523706
0.421046, 0.001595
0.421046, 0.001595
0.686584, 0.001474
0.686584, 0.001474
0.071613, 0.001067
0.263540, 0.001600
0.001107, 0.020866
0.001107, 0.020866
0.001417, 0.350873
0.779106, 0.998541
0.779106, 0.998541
0.998418, 0.098995
0.998408, 0.043516
0.001548, 0.724039
0.696558, 0.999029
0.303749, 0.999166
0.001416, 0.785867
0.761500, 0.000916
0.001139, 0.185846
0.001499, 0.719089
0.001242, 0.393329
0.669152, 0.001121
0.001398, 0.768355
0.999152, 0.721115
0.998437, 0.094037
0.093778, 0.999176
0.555854, 0.998587
0.555854, 0.998587
0.583359, 0.998564
0.001567, 0.894046
0.613807, 0.001682
0.000814, 0.591291
0.193681, 0.999185
0.096148, 0.998322
0.001301, 0.353311
0.438457, 0.000919
0.430965, 0.000911
0.303626, 0.001676
0.193644, 0.999181
0.998923, 0.428339
0.356036, 0.001642
0.001290, 0.760805
0.000918, 0.440951
0.000918, 0.440951
0.290987, 0.998388
0.000957, 0.651590
0.000893, 0.321530
0.163572, 0.999167
0.956630, 0.001001
0.276216, 0.998294
0.968525, 0.001648
0.843392, 0.001536
0.203910, 0.999180
0.001097, 0.949183
0.998349, 0.678974
0.998349, 0.678974
0.196540, 0.999106
0.000798, 0.113833
0.001408, 0.335818
0.789055, 0.998404
0.671598, 0.001555
0.311549, 0.001604
0.001628, 0.059018
0.998510, 0.879148
0.001229, 0.820783
0.130783, 0.998776
0.163397, 0.001558
0.001614, 0.470955
0.999195, 0.138601
0.291654, 0.001010
0.101657, 0.001490
0.715887, 0.999053
0.500820, 0.998955
0.500820, 0.998955
0.000970, 0.388364
0.998398, 0.803426
0.000772, 0.928717
0.001387, 0.803290
0.001387, 0.803290
0.001297, 0.453269
0.406658, 0.000987
0.191676, 0.998515
0.998600, 0.539213
0.998890, 0.168283
0.343499, 0.000832
0.999062, 0.744127
0.001576, 0.405885
0.001576, 0.405885
0.766207, 0.998262
0.000924, 0.448385
0.001479, 0.198316
0.761126, 0.999225
0.998259, 0.146222
0.974238, 0.001351
0.000753, 0.516208
0.356590, 0.000884
0.000826, 0.464017
0.113471, 0.998334
0.728249, 0.998718
0.138470, 0.998333
0.108303, 0.998981
0.398956, 0.998290
0.001369, 0.085758
0.708524, 0.000797
0.959254, 0.001191
0.481446, 0.998280
0.000740, 0.618754
0.000808, 0.058494
0.000806, 0.334003
0.235740, 0.998780
0.235740, 0.998780
0.290768, 0.001423
0.001016, 0.421711
